Points; Threshold num; Merge+Insert random (msecs); Merge+Insert reversed (msecs); Merge+Insert almost sorted (msecs); 
10000; 10; 22; 21; 21;
10000; 20; 22; 21; 23;
10000; 30; 24; 25; 22;
10000; 40; 23; 23; 21;
10000; 50; 25; 24; 26;
10000; 60; 25; 29; 26;
10000; 70; 27; 23; 24;
10000; 80; 32; 26; 31;
10000; 90; 22; 25; 21;
10000; 100; 21; 22; 21;
10000; 110; 22; 21; 22;
10000; 120; 21; 21; 22;
10000; 130; 21; 21; 21;
10000; 140; 22; 21; 21;
10000; 150; 23; 22; 23;
10000; 160; 22; 21; 21;
10000; 170; 22; 21; 21;
10000; 180; 22; 21; 21;
10000; 190; 21; 21; 21;
10000; 200; 22; 22; 23;
10000; 210; 22; 21; 21;
10000; 220; 22; 21; 21;
10000; 230; 22; 22; 21;
10000; 240; 22; 22; 21;
10000; 250; 22; 21; 21;
10000; 260; 22; 21; 22;
10000; 270; 22; 22; 21;
10000; 280; 22; 21; 21;
10000; 290; 21; 21; 21;
10000; 300; 22; 21; 21;
