Points; Threshold num; Merge+Insert random (msecs); Merge+Insert reversed (msecs); Merge+Insert almost sorted (msecs); 
10000; 10; 575; 585; 588;
10000; 20; 576; 542; 549;
10000; 30; 581; 579; 568;
10000; 40; 563; 545; 521;
10000; 50; 522; 505; 514;
10000; 60; 528; 518; 516;
10000; 70; 532; 506; 518;
10000; 80; 528; 517; 508;
10000; 90; 528; 510; 512;
10000; 100; 536; 516; 517;
10000; 110; 525; 508; 516;
10000; 120; 534; 520; 515;
10000; 130; 528; 514; 517;
10000; 140; 525; 512; 542;
10000; 150; 533; 519; 534;
10000; 160; 541; 519; 525;
10000; 170; 527; 535; 533;
10000; 180; 560; 521; 535;
10000; 190; 537; 532; 546;
10000; 200; 539; 548; 520;
10000; 210; 549; 523; 540;
10000; 220; 567; 528; 524;
10000; 230; 532; 523; 521;
10000; 240; 544; 514; 526;
10000; 250; 560; 519; 541;
10000; 260; 541; 523; 531;
10000; 270; 551; 537; 542;
10000; 280; 536; 536; 527;
10000; 290; 537; 518; 539;
10000; 300; 539; 525; 521;
