Points; Merge random (msecs); Merge reversed (msecs); Merge almost sorted (msecs); Merge+Insert random (msecs); Merge+Insert reversed (msecs); Merge+Insert almost sorted (msecs); 
100; 0; 0; 0; 0; 0; 0;
600; 2; 2; 2; 2; 2; 2;
1100; 5; 5; 5; 5; 5; 5;
1600; 7; 7; 7; 7; 7; 7;
2100; 10; 9; 10; 9; 10; 10;
2600; 12; 12; 12; 12; 13; 13;
3100; 14; 15; 18; 14; 15; 15;
3600; 20; 19; 18; 18; 17; 18;
4100; 24; 21; 22; 19; 19; 19;
4600; 24; 22; 21; 24; 26; 23;
5100; 27; 25; 28; 26; 25; 24;
5600; 29; 28; 29; 28; 27; 27;
6100; 32; 29; 30; 31; 30; 29;
6600; 32; 33; 32; 31; 31; 31;
7100; 34; 34; 35; 34; 34; 34;
7600; 40; 37; 37; 36; 36; 36;
8100; 39; 38; 38; 38; 38; 38;
8600; 43; 42; 45; 41; 40; 42;
9100; 44; 43; 46; 43; 43; 43;
9600; 47; 46; 49; 45; 46; 45;
