Points; Merge random (msecs); Merge reversed (msecs); Merge almost sorted (msecs); Merge+Insert random (msecs); Merge+Insert reversed (msecs); Merge+Insert almost sorted (msecs); 
100; 0; 0; 0; 0; 0; 0;
600; 4; 3; 4; 5; 6; 5;
1100; 7; 7; 8; 7; 8; 6;
1600; 10; 9; 9; 12; 15; 9;
2100; 12; 18; 20; 13; 15; 16;
2600; 26; 24; 24; 21; 16; 16;
3100; 20; 19; 20; 24; 23; 28;
3600; 29; 28; 31; 22; 23; 23;
4100; 26; 25; 24; 26; 40; 28;
4600; 49; 42; 41; 36; 41; 29;
5100; 43; 46; 37; 42; 42; 44;
5600; 42; 40; 49; 50; 50; 58;
6100; 56; 53; 45; 38; 42; 41;
6600; 45; 44; 42; 41; 41; 41;
7100; 53; 46; 43; 47; 45; 49;
7600; 49; 49; 53; 55; 57; 54;
8100; 54; 53; 57; 50; 50; 51;
8600; 59; 60; 65; 55; 55; 58;
9100; 64; 65; 78; 62; 63; 56;
9600; 70; 64; 67; 63; 62; 85;
10100; 73; 66; 91; 65; 71; 80;
10600; 81; 82; 79; 68; 79; 88;
11100; 87; 78; 76; 74; 90; 88;
11600; 93; 95; 82; 91; 80; 82;
12100; 101; 87; 86; 92; 79; 85;
12600; 88; 87; 95; 85; 86; 81;
13100; 87; 90; 89; 80; 84; 86;
13600; 98; 84; 89; 84; 88; 87;
14100; 93; 92; 88; 88; 94; 84;
14600; 96; 94; 93; 93; 95; 93;
15100; 96; 91; 95; 95; 96; 94;
15600; 104; 98; 97; 98; 105; 110;
16100; 100; 96; 97; 98; 101; 99;
16600; 104; 101; 105; 113; 101; 105;
17100; 111; 114; 105; 105; 103; 117;
17600; 118; 112; 117; 116; 120; 115;
18100; 123; 117; 113; 114; 123; 138;
18600; 171; 119; 123; 124; 123; 129;
19100; 135; 122; 124; 132; 129; 132;
19600; 148; 127; 132; 133; 135; 132;
20100; 140; 164; 156; 143; 138; 142;
20600; 158; 137; 146; 150; 171; 141;
21100; 147; 139; 138; 139; 141; 143;
21600; 181; 154; 151; 157; 158; 141;
22100; 166; 147; 148; 159; 154; 144;
22600; 158; 161; 173; 166; 159; 198;
23100; 158; 152; 169; 151; 160; 165;
23600; 166; 162; 171; 178; 156; 165;
24100; 194; 153; 177; 164; 158; 167;
24600; 165; 165; 177; 174; 175; 207;
25100; 180; 190; 195; 192; 170; 166;
25600; 185; 167; 189; 172; 168; 166;
26100; 188; 174; 184; 178; 179; 163;
26600; 186; 184; 179; 180; 176; 172;
27100; 182; 169; 172; 207; 279; 172;
27600; 185; 184; 188; 178; 177; 179;
28100; 191; 178; 176; 178; 179; 174;
28600; 193; 192; 183; 197; 186; 185;
29100; 198; 183; 191; 177; 181; 181;
29600; 205; 194; 213; 189; 211; 204;
30100; 200; 196; 192; 183; 203; 191;
30600; 238; 207; 201; 195; 192; 205;
31100; 205; 202; 194; 200; 199; 197;
31600; 209; 210; 201; 204; 207; 203;
32100; 214; 215; 201; 205; 209; 201;
32600; 224; 207; 210; 210; 208; 202;
33100; 215; 221; 209; 205; 204; 206;
33600; 234; 208; 218; 218; 224; 216;
34100; 231; 215; 212; 223; 219; 208;
34600; 242; 231; 237; 231; 223; 224;
35100; 238; 224; 227; 231; 228; 226;
35600; 251; 245; 232; 246; 234; 235;
36100; 238; 241; 243; 247; 235; 228;
36600; 251; 236; 238; 247; 237; 261;
37100; 250; 243; 238; 249; 265; 238;
37600; 257; 254; 254; 250; 253; 245;
38100; 269; 248; 247; 251; 264; 248;
38600; 280; 315; 276; 260; 259; 257;
39100; 278; 251; 255; 255; 263; 250;
39600; 272; 262; 273; 271; 261; 260;
40100; 278; 284; 268; 276; 284; 269;
40600; 284; 282; 286; 279; 290; 281;
41100; 277; 284; 282; 326; 268; 281;
41600; 295; 282; 289; 287; 283; 286;
42100; 293; 292; 277; 284; 275; 285;
42600; 312; 291; 296; 286; 296; 288;
43100; 303; 303; 291; 290; 295; 286;
43600; 327; 302; 298; 305; 296; 297;
44100; 316; 295; 317; 301; 300; 292;
44600; 315; 309; 306; 308; 299; 301;
45100; 320; 308; 301; 308; 321; 319;
45600; 319; 315; 322; 325; 311; 339;
46100; 350; 324; 355; 326; 316; 320;
46600; 340; 332; 333; 314; 327; 318;
47100; 339; 311; 315; 327; 308; 325;
47600; 348; 340; 323; 334; 321; 322;
48100; 337; 313; 328; 320; 317; 318;
48600; 343; 329; 378; 336; 335; 355;
49100; 332; 327; 327; 327; 331; 321;
49600; 346; 349; 356; 352; 344; 329;
50100; 350; 331; 346; 336; 326; 320;
50600; 350; 340; 347; 374; 346; 338;
51100; 349; 335; 338; 335; 334; 346;
51600; 386; 363; 354; 343; 348; 349;
52100; 358; 342; 338; 338; 347; 337;
52600; 358; 342; 352; 353; 346; 350;
53100; 358; 352; 345; 330; 341; 341;
53600; 367; 364; 363; 403; 371; 397;
54100; 401; 385; 391; 383; 373; 399;
54600; 379; 375; 381; 387; 374; 354;
55100; 375; 353; 362; 348; 349; 373;
55600; 403; 372; 381; 376; 391; 378;
56100; 368; 367; 365; 376; 354; 360;
56600; 396; 373; 392; 372; 365; 366;
57100; 378; 364; 380; 368; 365; 370;
57600; 422; 391; 394; 382; 381; 381;
58100; 390; 373; 393; 370; 382; 376;
58600; 459; 400; 417; 407; 392; 386;
59100; 391; 375; 385; 384; 380; 387;
59600; 410; 398; 404; 390; 418; 390;
60100; 392; 405; 400; 387; 433; 381;
60600; 412; 390; 407; 396; 391; 403;
61100; 405; 399; 427; 391; 408; 420;
61600; 427; 409; 405; 395; 400; 392;
62100; 432; 399; 434; 422; 423; 422;
62600; 416; 418; 401; 409; 413; 402;
63100; 419; 404; 414; 400; 395; 407;
63600; 430; 410; 427; 404; 406; 409;
64100; 413; 401; 391; 408; 405; 400;
64600; 422; 415; 412; 410; 425; 417;
65100; 424; 450; 415; 412; 416; 415;
65600; 462; 431; 416; 421; 413; 418;
66100; 427; 412; 422; 417; 414; 412;
66600; 444; 431; 428; 421; 426; 429;
67100; 443; 433; 428; 433; 419; 447;
67600; 455; 434; 456; 448; 438; 477;
68100; 455; 422; 429; 468; 425; 459;
68600; 492; 452; 449; 435; 447; 460;
69100; 463; 447; 448; 448; 444; 462;
69600; 476; 465; 461; 446; 447; 465;
70100; 474; 448; 467; 466; 455; 454;
70600; 483; 509; 465; 461; 460; 452;
71100; 492; 457; 458; 448; 462; 458;
71600; 509; 484; 478; 500; 486; 464;
72100; 492; 471; 479; 477; 458; 471;
72600; 531; 481; 493; 488; 470; 477;
73100; 538; 480; 485; 480; 484; 510;
73600; 557; 511; 502; 498; 505; 498;
74100; 499; 485; 512; 481; 482; 492;
74600; 536; 496; 506; 494; 492; 494;
75100; 518; 486; 499; 495; 494; 505;
75600; 529; 504; 507; 514; 503; 522;
76100; 532; 497; 506; 500; 515; 500;
76600; 544; 519; 524; 525; 520; 531;
77100; 532; 520; 514; 520; 517; 524;
77600; 553; 523; 540; 521; 522; 525;
78100; 534; 504; 535; 508; 525; 553;
78600; 612; 537; 535; 537; 554; 526;
79100; 561; 531; 541; 524; 536; 522;
79600; 556; 542; 548; 540; 534; 549;
80100; 559; 542; 539; 531; 521; 553;
80600; 584; 557; 558; 558; 564; 537;
81100; 565; 554; 546; 526; 558; 546;
81600; 586; 568; 560; 568; 565; 572;
82100; 577; 551; 553; 572; 545; 584;
82600; 574; 572; 583; 569; 567; 571;
83100; 601; 555; 555; 561; 562; 553;
83600; 605; 554; 587; 569; 574; 622;
84100; 586; 556; 582; 569; 570; 572;
84600; 612; 577; 603; 582; 582; 585;
85100; 589; 576; 582; 560; 568; 569;
85600; 672; 603; 629; 603; 619; 585;
86100; 659; 599; 641; 603; 592; 598;
86600; 614; 591; 612; 616; 599; 658;
87100; 608; 629; 644; 618; 600; 624;
87600; 654; 590; 614; 605; 616; 589;
88100; 651; 661; 651; 648; 616; 629;
88600; 674; 613; 629; 630; 605; 622;
89100; 646; 649; 658; 629; 621; 658;
89600; 666; 604; 635; 636; 611; 606;
90100; 678; 639; 639; 634; 627; 636;
90600; 662; 611; 620; 630; 624; 629;
91100; 648; 656; 631; 633; 645; 637;
91600; 662; 631; 654; 630; 612; 629;
92100; 669; 655; 641; 650; 671; 647;
92600; 657; 657; 631; 623; 627; 647;
93100; 668; 652; 645; 647; 645; 663;
93600; 669; 650; 643; 632; 647; 656;
94100; 678; 646; 661; 655; 643; 666;
94600; 657; 656; 647; 639; 668; 683;
95100; 693; 677; 682; 658; 680; 697;
95600; 678; 639; 676; 641; 644; 685;
96100; 693; 650; 700; 689; 669; 661;
96600; 696; 679; 662; 662; 668; 653;
97100; 701; 694; 691; 692; 693; 717;
97600; 704; 673; 670; 661; 684; 643;
98100; 738; 688; 691; 682; 696; 680;
98600; 734; 697; 688; 672; 678; 659;
99100; 738; 721; 683; 707; 679; 685;
99600; 758; 702; 706; 656; 665; 679;
